,max_batch_size,latency_s(mean),latency_s(std),throughput_qps,pipeline_length,mechanism,tensor_type
0,1,0.0048579854839481415,0.0008547201882296104,381.86147008043497,1,pickled,torch
1,1,0.009330111113376916,0.0012861407093155853,372.59010103892365,2,pickled,torch
2,1,0.017825328512117267,0.0016990896164753805,366.961720148374,4,pickled,torch
3,1,0.035532663201913235,0.0027638596806064757,333.77370862538066,8,pickled,torch
4,1,0.006910713876597583,0.0012895251451657717,239.56159647269152,1,unpickled,torch
5,1,0.013108411891851574,0.0012709978724421511,233.42633643819482,2,unpickled,torch
6,1,0.025139700249768793,0.0014371483541279328,206.84875902212505,4,unpickled,torch
7,1,0.05117213431047276,0.0023808234207705445,168.07624200070578,8,unpickled,torch
8,4,0.005201308615040034,0.0010517408727302583,740.357751822468,1,pickled,torch
9,4,0.009996519348584115,0.0013334168316266547,713.5511182468686,2,pickled,torch
10,4,0.019276965788565577,0.0019689973588500947,602.6877359903191,4,pickled,torch
11,4,0.039337343834806235,0.0026842301585892074,361.59753122555645,8,pickled,torch
12,4,0.0071392214307561515,0.000579933432427799,378.7585942015609,1,unpickled,torch
13,4,0.013677565914578737,0.0005311804840443945,347.2989947208097,2,unpickled,torch
14,4,0.026748723643366248,0.0009757540961062189,278.95894932806914,4,unpickled,torch
15,4,0.0551570817749016,0.0019816146033115292,209.14774534136302,8,unpickled,torch
16,8,0.009563804464880378,0.0006290486941187279,161.6263188348655,1,pickled,torch
17,8,0.020113798692356796,0.0010643144532398502,131.3569574003989,2,pickled,torch
18,8,0.0406317443177104,0.0015649162306137245,128.0986115337429,4,pickled,torch
19,8,0.08107058428507298,0.003739777459235263,132.5362933425204,8,pickled,torch
20,8,0.012393742565065622,0.0006158021109689451,138.4403912229305,1,unpickled,torch
21,8,0.025617541421670467,0.0011163330263725176,129.45183926381426,2,unpickled,torch
22,8,0.050429932130035014,0.001519914980478132,122.25893808459595,4,unpickled,torch
23,8,0.10063515377836302,0.0028416710554037923,109.69929136238595,8,unpickled,torch
